# Copyright (c) 1993-2009 Microsoft Corp.
#
# This is a sample HOSTS file used by Microsoft TCP/IP for Windows.
# This file contains the mappings of IP addresses to host names. Each
# entry should be kept on an individual line. The IP address should
# be placed in the first column followed by the corresponding host name.
# The IP address and the host name should be separated by at least one
# space.
# Additionally, comments (such as these) may be inserted on individual
# lines or following the machine name denoted by a '#' symbol.
# For example:
#      102.54.94.97     rhino.acme.com          # source server
#       38.25.63.10     x.acme.com              # x client host
# localhost name resolution is handled within DNS itself.
#	127.0.0.1       localhost
#	::1             localhost
#JW8013    ads-hosts.txt
#version=20220309
#*********************************************************
#FUCKMAKD  Start#
127.0.0.1 c.dcs.maxthon.com 
#Maxthon End#
#屏蔽电视广告 Start#
127.0.0.1 ad.k.21cn.com
127.0.0.1 ad.tencentmusic.com
127.0.0.1 ad.us.sinaimg.cn
127.0.0.1 ada.baidu.com
127.0.0.1 adapistatic.kaitao.cn
127.0.0.1 adash.man.aliyuncs.com
127.0.0.1 adashbc.m.taobao.com
127.0.0.1 adashbc.ut.taobao.com
127.0.0.1 adashx.m.taobao.com
127.0.0.1 adashxgc.ut.taobao.com
127.0.0.1 adeng.hpplay.cn 
127.0.0.1 adimg.uve.weibo.com
127.0.0.1 ads-uo.api.leiniao.com
127.0.0.1 ads-ut.api.leiniao.com
127.0.0.1 ads.api.my7v.com
127.0.0.1 ads.huan.tv
127.0.0.1 ads.huantest.com
127.0.0.1 ads.mopub.com
127.0.0.1 ads.trafficjunky.net
127.0.0.1 adscdn.cedock.com
127.0.0.1 adserver-ad.321mh.com
127.0.0.1 adss.video.qq.com
127.0.0.1 adtoken.v.qq.com
127.0.0.1 adv.sec.miui.com
127.0.0.1 aiseet.aa.aisee.tv
127.0.0.1 aiseet.aa.atianqi.com
127.0.0.1 alicdn.epg.huan.tv
127.0.0.1 analysis.huan.tv
127.0.0.1 api.ad.xiaomi.com
127.0.0.1 api.upgrade.platform.huan.tv
127.0.0.1 appupgrade.cp12.ott.cibntv.net
127.0.0.1 authenticate.chiq-cloud.com
127.0.0.1 bksoup.v.qq.com
127.0.0.1 bss.pandora.xiaomi.com
127.0.0.1 c.amazon-adsystem.com
127.0.0.1 cdn.hpplay.com.cn
127.0.0.1 chainge.ad.xiaomi.com
127.0.0.1 chc.ads.huan.tv
127.0.0.1 commdata.v.qq.com
127.0.0.1 conf.lsosad.com
127.0.0.1 config.chsmarttv.com
127.0.0.1 config.kuyun.com
127.0.0.1 d.appstore.huan.tv
127.0.0.1 d.chapp.huan.tv
127.0.0.1 data.chsmarttv.com
127.0.0.1 data.mistat.xiaomi.com
127.0.0.1 de.pandora.xiaomi.com
127.0.0.1 dev.voicecloud.cn
127.0.0.1 diagnosis.ad.xiaomi.com
127.0.0.1 dl-tclupgapp.huan.tv
127.0.0.1 domain.aishengji.com
127.0.0.1 download.changhong.upgrade2.huan.tv
127.0.0.1 downloadxml.changhong.upgrade2.huan.tv
127.0.0.1 dvb.pandora.xiaomi.com
127.0.0.1 epg.huan.tv
127.0.0.1 euads-o.api.leiniao.com
127.0.0.1 gallery.pandora.xiaomi.com
127.0.0.1 game.loveota.com
127.0.0.1 googleads.g.doubleclick.net
127.0.0.1 gvod.aiseejapp.atianqi.com
127.0.0.1 h-adashx.ut.taobao.com
127.0.0.1 h-adashx4yt.ut.taobao.com
127.0.0.1 huan.tv
127.0.0.1 huantest.com
127.0.0.1 hwads-t.api.my7v.com
127.0.0.1 imgad0.pcauto.com.cn
127.0.0.1 itv2-id.openspeech.cn
127.0.0.1 itv2-up.openspeech.cn
127.0.0.1 jellyfish.pandora.xiaomi.com
127.0.0.1 jfapi.chiq-cloud.com
127.0.0.1 launcher-o.apk.tcloudfamily.com
127.0.0.1 launcher.TCLoudfamily.com
127.0.0.1 launcher.smart-tv.cn
127.0.0.1 launcher.tcloudfamily.com
127.0.0.1 launcherimg.smart-tv.cn
127.0.0.1 livemonitor.huan.tv
127.0.0.1 loc.map.baidu.com
127.0.0.1 log.appstore3.huan.tv
127.0.0.1 log.vcgame.cn
127.0.0.1 logonext.tv.kuyun.com
127.0.0.1 mishop.pandora.xiaomi.com
127.0.0.1 mission-pub.smart-tv.cn
127.0.0.1 mobads-logs.baidu.com
127.0.0.1 mobads.baidu.com
127.0.0.1 monitor.ads.huan.tv
127.0.0.1 monitor.uu.qq.com
127.0.0.1 mt.voiceads.cn
127.0.0.1 my7v.com
127.0.0.1 nadvideo.baidu.com
127.0.0.1 nadvideo2.baidu.com
127.0.0.1 newvoice.chiq5.smart-tv.cn
127.0.0.1 ntp.tuxfamily.net
127.0.0.1 o2o.api.xiaomi.com
127.0.0.1 pagead2.googleadservices.com
127.0.0.1 pagead2.googlesyndication.com
127.0.0.1 pingma.qq.com
127.0.0.1 pixon.ads-pixiv.net
127.0.0.1 post.voiceads.cn
127.0.0.1 qqadapt.qpic.cn
127.0.0.1 reachmax-cm.admaster.com.cn
127.0.0.1 s.amazon-adsystem.com
127.0.0.1 s3a.time.edu.cn
127.0.0.1 scs.openspeech.cn
127.0.0.1 sdkconfig.ad.xiaomi.com
127.0.0.1 sdkconfig.video.qq.com
127.0.0.1 securepubads.g.doubleclick.net
127.0.0.1 service.changhong.upgrade2.huan.tv
127.0.0.1 soup.v.qq.com
127.0.0.1 ss.chiq-cloud.com
127.0.0.1 stat.pandora.xiaomi.com
127.0.0.1 sys-update.ch.hifuntv.com
127.0.0.1 tclicon.upgrade.huan.tv
127.0.0.1 tcloudfamily.com
127.0.0.1 tclupgrade.huantest.com
127.0.0.1 test.launcher.tcloudfamily.com
127.0.0.1 testads.api.my7v.com
127.0.0.1 testoverseaupgrade.api.my7v.com
127.0.0.1 time.chiq-cloud.com
127.0.0.1 tvuser-ch.cedock.com
127.0.0.1 uapi.chiq-cloud.com
127.0.0.1 update.cedock.com
127.0.0.1 update.lejiao.tv
127.0.0.1 updateback.aisee.tv
127.0.0.1 updatemain.aisee.tv
127.0.0.1 upgrade-uo.api.leiniao.com
127.0.0.1 upgrade.api.my7v.com
127.0.0.1 upgrade.mishop.pandora.xiaomi.com
127.0.0.1 upl.baidu.com
127.0.0.1 v3-ad.ixigua.com
127.0.0.1 v6-ad.ixigua.com
127.0.0.1 vv.video.qq.com
127.0.0.1 wtradv.market.xiaomi.com
127.0.0.1 www.epg.huan.tv
127.0.0.1 www.googleadservices.com
127.0.0.1 ykad-gateway.youku.com
#屏蔽电视广告 End#
